id;horizontal_complex_id;zip_code
1;1;06532145
2;1;06532115
3;1;06532100
4;1;06532070
5;1;06532060
6;1;06532065
7;1;06532090
8;1;06532120
9;1;06532130
10;1;06532110
11;1;06532055
12;1;06532085
13;1;06532080
14;1;06532050
15;1;06532075
16;1;06532105
17;1;06532095
18;1;06532135
19;1;06532125
20;1;06532057
21;2;06532023
22;2;06532025
23;2;06532016
24;2;06532012
25;2;06532014
26;2;06532017
27;2;06532011
28;2;06532015
29;2;06532009
30;2;06532018
31;2;06532008
32;2;06532019
33;2;06532013
34;3;06532005
35;3;06532007
36;3;06532006
37;3;06532003
38;3;06532002
39;3;06532004
40;4;06539360
41;4;06539400
42;4;06539390
43;4;06539320
44;4;06539410
45;4;06539300
46;4;06539370
47;4;06539380
48;4;06539310
49;5;06539085
50;5;06539065
51;5;06539035
52;5;06539040
53;5;06539030
54;5;06539070
55;5;06539025
56;5;06539075
57;5;06539015
58;5;06539060
59;5;06539090
60;5;06539080
61;5;06539045
62;5;06539055
63;5;06539050
64;5;06539020
65;6;06540340
66;6;06540410
67;6;06540425
68;6;06540375
69;6;06540370
70;6;06540305
71;6;06540325
72;6;06540285
73;6;06540395
74;6;06540385
75;6;06540400
76;6;06540335
77;6;06540390
78;6;06540320
79;6;06540315
80;6;06540360
81;6;06540405
82;6;06540430
83;6;06540310
84;6;06540345
85;6;06540420
86;6;06540415
87;6;06540290
88;6;06540295
89;6;06540300
90;6;06540355
91;6;06540365
92;6;06540350
93;6;06540380
94;6;06540330
95;7;06540045
96;7;06540060
97;7;06540080
98;7;06540090
99;7;06540070
100;7;06540010
101;7;06540030
102;7;06540110
103;7;06540065
104;7;06540040
105;7;06540005
106;7;06540075
107;7;06540025
108;7;06540055
109;7;06540050
110;7;06540015
111;7;06540105
112;7;06540020
113;7;06540085
114;7;06540100
115;7;06540035
116;7;06540095
117;8;06540130
118;8;06540150
119;8;06540135
120;8;06540280
