zip_code;neighborhood;city;state;sector;type
06541070;Alphaville;Santana de Parnaíba;SP;1;394
06541080;Alphaville;Santana de Parnaíba;SP;1;394
06541085;Alphaville;Santana de Parnaíba;SP;1;394
06541060;Alphaville;Santana de Parnaíba;SP;1;394
06541045;Alphaville;Santana de Parnaíba;SP;1;394
06541050;Alphaville;Santana de Parnaíba;SP;1;394
06541040;Alphaville;Santana de Parnaíba;SP;1;394
06543306;Alphaville;Santana de Parnaíba;SP;1;386
06543315;Alphaville;Santana de Parnaíba;SP;1;386
06544080;Alphaville;Santana de Parnaíba;SP;1;386
06543312;Alphaville;Santana de Parnaíba;SP;1;386
06543510;Alphaville;Santana de Parnaíba;SP;1;386
06543003;Alphaville;Santana de Parnaíba;SP;1;386
06543325;Alphaville;Santana de Parnaíba;SP;1;386
06543385;Alphaville;Santana de Parnaíba;SP;1;386
06543502;Alphaville;Santana de Parnaíba;SP;1;386
06543308;Alphaville;Santana de Parnaíba;SP;1;386
06544515;Alphaville;Santana de Parnaíba;SP;1;386
06543007;Alphaville;Santana de Parnaíba;SP;1;386
06543320;Alphaville;Santana de Parnaíba;SP;1;386
06544071;Alphaville;Santana de Parnaíba;SP;1;386
06544072;Alphaville;Santana de Parnaíba;SP;1;386
06544070;Alphaville;Santana de Parnaíba;SP;1;386
06544075;Alphaville;Santana de Parnaíba;SP;1;386
06543004;Alphaville;Santana de Parnaíba;SP;1;386
